Index,Headline
0,"
आज यस्तो छ विदेशी मुद्राको नेपाली मूल्य, कुन देशको कतिमा हुँदैछ कारोबार ?"
1,"
एनएमबि बैंकबाट कृषि कर्जा बेस रेटमा ०.५ प्रतिशत थपमै ऋण पाइने"
2,"
तीन अर्बको ऋणपत्र निष्काशन गर्न सिटिजन्स बैंकले दियो सेबोनमा निवेदन"
3,"
सिटिजन्स बैंकद्वारा साथ हकुना मटाटालाई आर्थिक सहयोग"
4,"
मुक्तिनाथ विकास बैंकद्धारा विभिन्न अस्पतालहरूमा ह्विलचियर वितरण"
5,"
ग्लोबल आइएमई ब्यालेन्स्ड फण्ड–१ को नाफा १ करोडभन्दा बढी"
6,"
मुक्तिनाथ विकास बैंकको ५ लाख कित्ता संस्थापक शेयर विक्रीमा"
7,"
आज कुन देशको मुद्रा कतिमा हुँदैछ कारोबार ? थाहा पाउनुहोस् विनिमयदर"
8,"
प्रतिकित्ता १४५ मूल्यमा सानिमा बैंकको संस्थापक शेयर विक्रीमा"
9,"
आज कुन देशको मुद्राको कतिमा हुँदैछ कारोबार ? यस्तो छ विनिमयदर"
10,"
आर्थिक गतिविधि अध्ययन प्रतिवेदन सार्वजनिक, बैंक तथा वित्तीयको अवस्था सुधार"
11,"
सिटिजन्स बैंकद्वारा ज्येष्ठ नागरिक क्लब भवन बनाउन आर्थिक सहयोग प्रदान"
12,"
नबिल बैंकलाई इन्फोसिस फिनाकल इनोभेसन अवार्ड"
13,"
राष्ट्र बैंकले ६६ करोड रुपैयाँ मुद्दती निक्षेपमा राख्ने"
14,"
राष्ट्रिय वाणिज्य बैंकको एक्सटेन्सन काउन्टर प्रहरी प्रधान कार्यालय नक्सालमा"
15,"
लक्ष्मी इक्वीटी फण्डको प्रति इकाई खुद मूल्य जेठमा बढ्यो"
16,"
आधाभन्दा बढीले घट्यो लक्ष्मी उन्नती कोषको नोक्सानी"
17,"
संस्थापकले किनेनन् कुमारी बैंकको संस्थापक शेयर, सर्वसाधारणमा बिक्री खुला"
18,"
आज कुन देशको मुद्रा कतिमा हुँदैछ किनबेच ? यस्तो छ विनिमयदर"
19,"
सामूहिक कृषि प्रवद्र्धनका लागि ज्योति विकास बैंकद्वारा धान रोप्ने मेसिन प्रदान"
20,"
यस्तो छ आजको विनिमयदर, कुन देशको कतिमा हुँदैछ कारोबार ?"
21,"
सिटिजन्स बैंकका ग्राहकले टोखा केब फनपार्कमा छुट पाउने"
22,"
मिष्टर हिमालय राष्ट्रिय शारीरिक सुगठन प्रतियोगितालाई महालक्ष्मीको साथ"
23,"
सानिमा बैंकद्वारा दिर्घायु बचत योजना अन्तर्गत बीमा रकम हस्तान्तरण"
24,"
जीडीपीभन्दा निक्षेप बढी हुँदा यसरी पर्दैछ अर्थतन्त्र जोखिममा"
25,"
तीन बैंकको संस्थापक शेयर बिक्रीमा, कुनको कति ?"
26,"
प्रभु बैंकको ७ लाखभन्दा बढी कित्ता संस्थापक शेयर बिक्रीमा"
27,"
प्रतिकित्ता १२६ मा ज्योति विकास बैंकको संस्थापक शेयर बिक्रीमा"
28,"
संस्थापकले किनेनन् सिटिजन्स बैंकको ३४ हजारभन्दा बढी कित्ता शेयर, सर्वसाधारणमा बिक्री"
29,"
आज कुन देशको मुद्राको कतिमा हुँदैछ कारोबार ? यस्तो छ मूल्यसूची"
30,"
आजको विनिमयदर, कुन देशको मुद्रा कतिमा हुँदैछ कारोबार ?"
31,"
सनराइज बैंकले दियो २० जनालाई हात तथा खुट्टा"
32,"
एनएमबि बैंकद्वारा वीच्याट पे सार्वजनिक, चिनियाँ पर्यटकले अब नेपालमा सजिलै भुक्तानी गर्न सक्ने"
33,"
आज कुन देशको मुद्रा कतिमा हुँदैछ किनबेच ? यस्तो छ मूल्यसूची"
34,"
नबिल बैंकका ग्राहकले दैनिक २० लाख रुपयाँ डिजिटलरुपमै पठाउन सक्ने"
35,"
सिटिजन्स बैंकका ग्राहकलाई विभिन्न संघ-संस्थामा छुट"
36,"
सानिमा बैंकका ग्राहकहरुलाई नागरिक कम्युनिटि टिचिङ्ग हस्पिटलमा छुट"
37,"
हिमालयन बैंकका ग्राहकले आरोगिन हेल्थ केयरमा विशेष छुट पाउने"
38,"
बजारबाट १० अर्बको तरलता खिच्दै राष्ट्र बैंक"
39,"
हिमालयन बैंकको करिब २२ लाख कित्ता संस्थापक शेयर बिक्रीमा"
40,"
‘मौद्रिक नीति कसैको स्वार्थपूर्ति गर्ने होइन, बजार मूल्य स्थिर राख्ने खालको हुनुपर्छ’"
41,"
आजको विनिमयदर : कुन देशको मुद्राको नेपाली मूल्य कति पुग्यो ?"
42,"
कामना सेवा विकास बैंकको बोनस शेयर सूचीकृत"
43,"
सिटिजन्स बैंकले शुरु गर्यो बालिका शिक्षा तथा बाल विवाह न्यूनिकरण मुद्धति खाता"
44,"
सनराइज बैंकद्वारा विभिन्न विद्यालयहरुमा ‘प्याड एटिएम’ हस्तान्तरण"
45,"
कुमारी बैंकले तल्लो बलेफी खोला जलविद्युत आयोजनामा लगानी गर्ने"
46,"
सानिमा बैंक र पाटन अस्पतालबीच आर्थिक सहयोग गर्ने सम्झौता"
47,"
नबिल बैंकका ग्राहकलाई ¥याडिसन होटलमा १० प्रतिशत छुट"
48,"
आज बेलायती पाउण्ड र अष्ट्रेलियन डलरको भाउ घट्दा बढ्यो अमेरिकी डलर"
49,"
एनबीए र युएसएआइडी ट्रेड एण्ड कम्पिटेभिटनेसबीच सम्झौता"
50,"
विपन्न महिलाको उपचार गर्न सानिमा बैंक र पाटन अस्पतालबीच सम्झौता"
51,"
हिमालयन बैंकका ग्राहकलाई जंगल भिल्ला रिसोर्टमा छुटको व्यबस्था"
52,"
आज कुन देशको मुद्रा कतिमा हुँदैछ कारोबार ? यस्तो छ आजको विनिमय दर"
53,"
कुमारी बैंकले ५ अर्ब बराबरको ऋणपत्र निष्कासन गर्न बोर्डमा दियो निवेदन"
54,"
सनराइज बैंकद्वारा सुनसरीमा पशुपालन र डडेलधुरामा आलु खेती सम्बन्धी तालिम"
55,"
सिटिजन्स बैंक र वेबोर होम अप्लायन्सबीच समझदारी"
56,"
माछापुच्छ्रे बैंक र प्याब्सनबीच वित्तीय साक्षरता सम्बन्धि सम्झौता"
57,"
विद्युतीय मुद्रा जारी गर्ने राष्ट्र बैंकको तयारी"
58,"
एभरेष्ट बैंकको नयाँ शाखा दलदले नवलपरासीमा सञ्चालन"
59,"
बेलायती पाउण्ड र अष्ट्रेलियन डलरको भाउ निरन्तर उकालो, कुन देशको कति पुग्यो ?"
60,"
ग्लोबल आइएमई क्यापिटलको विशेष साधारणसभा सम्पन्न"
61,"
सनराइज बैंकको वार्षिक साधारण सभा सम्पन्न, मर्जर प्रस्ताव पारित"
62,"
नेपाल बैंकर्स संघ र इन्भेष्ट फर इम्प्याक्टबीच सम्झौता"
63,"
लक्ष्मी बैंक विशेष साधारणसभा सम्पन्न, मर्जर प्रस्ताव पारित"
64,"
ट्रेजरीमार्फत ३० अर्ब ८६ करोड आन्तरिक ऋण उठाउँदै सरकार"
65,"
राष्ट्रिय वाणिज्य बैंकले असारभित्र ब्याज भुक्तानी गर्नेलाई छुट दिने"
66,"
मितेरी डेभलपमेन्ट बैंकको संस्थापक शेयर बिक्रीमा"
67,"
अर्थमन्त्री र गभर्नरका कुराले वित्तीय क्षेत्र निराश, अब व्यापार गर्ला कि मुद्दा ?"
68,"
आज कुन देशको मुद्रा कतिमा भइरहेको छ कारोबार ? थाहा पाउनुहोस् मूल्यसूची"
69,"
बेलायती पाउण्डको बिक्रीदर १६८ नाघ्यो, अमेरिकी डलर कमजोर बन्दै"
70,"
प्रभु बैंकले एमजी इलेक्ट्रिक भेहिकल खरिद गर्न कर्जा दिने"
71,"
बैंकको ब्याज बढेर उद्योग बन्द भए, ब्याजदर घटाउनु पर्योः भण्डारी"
72,"
माछापुच्छ्रे बैंकले पायो ‘इन्फोसिस फिनाकल इनोभेसन अवार्ड–२०२३’"
73,"
एभरेष्ट बैंकद्वारा काठमाडौं इन्स्टिच्युट अफ चाइल्ड हेल्थलाई आर्थिक सहयोग"
74,"
लुम्बिनी विकास बैंकको ऋणपत्र बाँडफाँट"
75,"
आज पनि अष्ट्रेलियन डलर र बेलायती पाउण्डको मूल्य बढ्यो, कहाँ कतिमा हुँदैछ किनबेच ?"
76,"
वित्तीय सङ्घीयता सुदृढीकरणका लागि यस्ता छन् विश्व बैंकका सुझाव"
77,"
लघुवित्तहरूको योगदान धेरैलाई थाहा छ, कोही कराए भन्दैमा भुल्न हुँदैन: गभर्नर"
78,"
पहिलो दिन एक लाख भन्दा बढीले भरे घोराही सिमेन्टको आईपीओ"
79,"
सनराइज बैंकद्वारा नगद तथा चेक जम्मा गर्ने मेसिनको शुभारम्भ"
80,"
सहकारीको जिम्मा राष्ट्र बैंकलाई दिनु हुँदैन: खतिवडा"
81,"
सानिमा बैंकका ग्राहकहरुलाई इसामु जापानिज रेष्टुरेन्टमा विशेष छुट"
82,"
बैंकको कर्मचारी हो भन्दै कसैले ओटिपी मागे नदिनूः राष्ट्र बैंक"
83,"
धौलागिरी र खप्तड लघुवित्तलाई मर्जरका लागि राष्ट्र बैंकको अन्तिम स्वीकृति"
84,"
नबिल बैंकले तीन अर्बको ऋणपत्र निष्कासन गर्ने"
85,"
आज पनि बढ्यो अष्ट्रेलियन डलरको मूल्य, अरु देशको के छ अवस्था ?"
86,"
नेपाल ईन्भेष्टमेन्ट मेगा बैंक र उपायबीच सम्झौता, बैंकिङसहित बीमा लगायतका सुविधा प्रदान हुने"
87,"
मुक्तिनाथ विकास बैंकका ग्राहकहरुलाई ‘सेफ्स बर्गर’मा विशेष छुट"
88,"
सनराइज बैंकद्वारा निशुल्क स्वास्थ्य शिविर सञ्चालन"
89,"
नबिल बैंक र एसियन पेन्टबीच च्यानल फाइनान्सिङको सम्झौता"
90,"
आज पनि उकालो लाग्यो अष्ट्रेलियन डलर, अरु कुन देशको के छ अवस्था ?"
91,"
सनराइज बैंकका ग्राहकलाई केएफसी, पिज्जा हन्ट र क्रिम बेलमा विशेष छुट"
92,"
सिटिजन्स बैंकका ग्राहकलाई विभिन्न संस्थामा विशेष छुट"
93,"
वाणिज्य बैंकहरुले कर्जाको ब्याजदर घटाउने"
94,"
ईसेवा मनि ट्रान्सफर र नबिल बैंकबिच रेमिट्यान्स भुक्तानी सम्झौता"
95,"
दुई विकास बैंकको करिब ११ लाख कित्ता संस्थापक शेयर बिक्रीमा"
96,"
मर्जर तथा प्राप्ति प्रस्तावसहित नारायणी डेभलपमेन्ट बैंकले बोलायो साधारण सभा"
97,"
आज पनि बढ्यो अष्ट्रेलियन डलरको भाउ, कुन देशको मुद्रा कतिमा हुँदैछ किनबेच ?"
98,"
एनआईसी एशिया बैंकद्वारा क्युआर मर्चेन्ट एक्टिभेसन योजना सार्वजनिक"
99,"
सिटिजन्स बैंकद्धारा अर्ली चाइल्डहुड सेन्टरलाई सेनेटरी प्याड र मेसिन वितरण"
100,"
निरन्तर उकालो लाग्दै अष्ट्रेलियन डलर, अरु देशको मुद्राको के छ अवस्था ?"
101,"
‘क्रस बोर्डर डिजिटल पेमेन्टमा नयाँ सिस्टम जोड्ने होइन, अहिलेकै प्रणाली दुवै देशमा चल्ने बनाउने हो’"
102,"
सनराइज बैंकद्वारा निःशुल्क आँखा शिविर संचालन"
