Index,Headline
0,"
जीवन बीमा कम्पनीको व्यवसाय बढ्यो, एक महिनामै उठाए १० अर्बबढी बीमाशुल्क"
1,"
यी हुन् प्रभु महालक्ष्मी लाइफले ल्याउने लागेको बीमा योजनाहरू"
2,"
एशियन लाइफ इन्स्योरेन्सको ८.५० प्रतिशत बोनस शेयर वितरण"
3,"
मर्जरपछि बनेको हिमालयन लाइफको शेयर सूचीकृत"
4,"
पास्नीमा छोरालाई बीमा पोलिसी उपहार"
5,"
हाम्रो बहुउद्देश्यीय सहकारीका सदस्यको बीमा सानिमा रिलायन्स लाईफले गर्ने"
6,"
प्रभु महालक्ष्मी लाइफ इन्स्योरेन्सको नयाँ लोगो सार्वजनिक"
7,"
आइएमई लाइफको आईपीओ बिक्रीमा, कस्ले पाउँछन् भर्न ?"
8,"
एघार अर्बका ८२ हजार बीमा पोलिसी सरेन्डर"
9,"
प्राधिकरणद्धारा एसियाली बीमा सम्मेलन सम्पन्न"
10,"
दीगो विकासको लक्ष्यलाई सुनिश्चित गर्न बीमाको भूमिका महत्वपूर्ण छः अर्थमन्त्री महत"
11,"
प्रभु र महालक्ष्मी लाईफ इन्स्योरेन्सको मर्जर प्रस्ताव पारित, असार मसान्तभित्रै एकीकृत कारोबार हुने"
12,"
प्रभु लाइफ इन्स्योरेन्सको वार्षिक साधारण सभा सम्पन्न, प्रस्तावित लाभांश पारित"
13,"
बागलुङमा बढ्दै स्वास्थ्य बिमाको पहुँच"
14,"
सूर्य ज्योति लाइफले बीमालेख नविकरणमा ३५ प्रतिशत  छुट दिने"
15,"
नेपाल पुनर्बीमा कम्पनीको ५ प्रतिशत लाभांश असार १५ गते पारित हुदैं"
16,"
प्रिमियम मूल्यमा असार १ गतेदेखि पहिलो चरणको आईपीओ जारी गर्दै आइएमई लाइफ"
17,"
मेटलाइफद्वारा बीमा शुल्क भुक्तानी संकलनका लागि त्रिपक्षीय सम्झौता"
18,"
लाइफ इन्स्योरेन्स कर्पोरेशनद्वारा नयाँ बोनसदर सार्वजनिक,  कुन योजनामा कति पाइन्छ ?"
19,"
प्राधिकरणद्धारा बीमा सम्बन्धी अन्तर्राष्ट्रिय सम्मेलनको आयोजना, १२ देशको सहभागिता रहने"
20,"
नेपाल लाइफका सातवटै प्रदेशका ६००० बढी अभिकर्ता प्रशिक्षित"
21,"
प्रिमियममा आईपीओ निष्कासन गर्ने आईएमई लाइफ पहिलो कम्पनी बन्यो"
22,"
नेपाल लाइफको पोखरामा आफ्नै सुविधा सम्पन्न भवन"
23,"
नेशनल लाइफको ३५ औँ वार्षिक साधारणसभा सम्पन्न"
24,"
निर्जीवन बीमा कम्पनीहरुले संकलन गरे ३२ अर्ब बीमाशुल्क, नेशनल अझै पुगेन अर्ब क्लबमा"
25,"
पाँच लघुबीमाले पुर्‍याए चुक्ता पुँजी, दुई वटालाई अझै सकस"
26,"
रिलायबलले गर्‍यो क्रिकेट टिमका खेलाडीहरूको म्यादी जीवन बीमा"
27,"
वैदेशिक रोजगार बीमाबाट कम्पनीहरूले गर्दैछन् राम्रो आम्दानी"
28,"
हिमालयन लाइफ इन्स्योरेन्सको शेयर रजिष्ट्रारमा प्रभु क्यापिटल नियुक्त"
29,"
हिमालयन लाइफ इन्स्योरेन्सको शेयर रजिष्ट्रारमा प्रभु क्यापिटल नियुक्त"
30,"
मेटलाइफ नेपालद्वारा ग्रामीण महिला उत्थान केन्द्रलाई सहयोग"
31,"
जीवन बीमा कम्पनीहरुले दश महिनामा उठाए एक खर्बबढी बीमाशुल्क, नेपाल लाइफको सर्वाधिक"
32,"
एशियन लाइफको २४ हजारभन्दा बढी कित्ता संस्थापक शेयर बिक्रीमा"
33,"
बीमा गरेको पाँच वर्षमा नरबहादुरको मृत्यु, नेपाल लाइफले दियो ६४ लाख रकम"
34,"
प्रिमियममा आईपीओ जारी गर्न लागेको रिलायबल नेपाल लाइफले बोलायो साधारण सभा"
35,"
प्रभु र नेशनल लाइफ इन्स्योरेन्सको शेयरमूल्य समायोजन"
36,"
रिलायबल नेपाल लाइफको नयाँ बोनसदर सार्वजनिक"
37,"
विपन्नको सहारा बन्दै स्वास्थ्य बीमा"
38,"
भरतपुर अस्पतालले दियो स्वास्थ्य बीमामार्फत एक अर्ब १९ करोडबढीको उपचार सेवा"
39,"
‘बीमाको दायरा बढाएर मात्रै हुँदैन, पोलिसी सरेन्डरबारे पनि ध्यान दिनु पर्छ’"
40,"
प्रभु लाइफले संशोधन गर्याे लाभांश प्रस्ताव"
41,"
एक महिनामा नौं हजार बढीले त्यागे बीमा पोलिसी, नेपाल लाइफको सर्वाधिक"
42,"
स्वास्थ्य बीमा बोर्डद्धारा १० अर्बबढी दावी भुक्तानी, बीमितको संख्या ६७ लाख नाघ्यो"
43,"
कृषि सहकारी केन्द्रीय संघ र सानिमा रिलायन्स लाईफबीच बिमा सम्बन्धी सम्झौता"
44,"
नेपाल लाइफले ९ महिनामा संकलन गर्यो करिब २७ अर्ब खुद बीमाशुल्क"
45,"
हिमालयन लाइफ इन्स्योरेन्सको नयाँ बोनसदर सार्वजनिक, कुन योजनामा कति पाइन्छ ?"
46,"
प्रभु लाइफ इन्स्योरेन्सद्वारा प्राण घातक रोग विरुद्घको दश लाख रकम दाबी भुक्तानी"
47,"
रिलायबल नेपाल लाइफ इन्स्योरेन्सको नाफा ३५.६४ प्रतिशतले बढ्यो"
48,"
आइजीआई प्रुडेन्सियल इन्स्योरेन्सका अध्यक्ष ढकालले लिए सपथ"
49,"
युनियन लाइफ इन्स्योरेन्सको नयाँ बोनसदर सार्वजनिक"
50,"
प्रभु लाइफ इन्स्योरेन्सद्धारा लाभांश प्रस्ताव, बोनस कति ?"
51,"
सन नेपाल लाइफद्वारा ९ महिनामा करिब ३ अर्ब बीमाशुल्क आर्जन"
52,"
तीन बीमा कम्पनी मर्जपछि बन्ने हिमालयन लाइफको चुक्तापुँजी ७ अर्ब १ करोड ३८ लाख"
53,"
गुराँस लाइफ इन्स्योरेन्सको बोनस शेयर सूचीकृत"
54,"
युनाइटेड इन्स्योरेन्सको विशेष साधारणसभा सम्पन्न, मर्जर प्रस्ताव पारित"
55,"
प्रभु लाइफको नयाँ बोनसदर सार्वजनिक, कुन योजनामा कति पाइन्छ ?"
56,"
प्राइम लाइफको नयाँ बोनसदर सार्वजनिक"
