Index,Headline
0,"
सानिमा जिआईसी इन्स्योरेन्सको पाँचौ वार्षिक साधारण सभा सम्पन्न"
1,"
अजोड इन्स्योरेन्सको शेयर रजिस्ट्रारमा नबिल इन्भेष्टमेन्ट बैकिङ"
2,"
बीमा कम्पनीले पशुधनको बीमा गर्न छाडिदिए"
3,"
प्राधिकरणद्धारा एसियाली बीमा सम्मेलन सम्पन्न"
4,"
दीगो विकासको लक्ष्यलाई सुनिश्चित गर्न बीमाको भूमिका महत्वपूर्ण छः अर्थमन्त्री महत"
5,"
नेपाल पुनर्बीमा कम्पनीको ५ प्रतिशत लाभांश असार १५ गते पारित हुदैं"
6,"
इसेवाबाटै एक करोडसम्मको घरबीमाको प्रिमियम भुक्तानी गर्न सकिने"
7,"
प्राधिकरणद्धारा बीमा सम्बन्धी अन्तर्राष्ट्रिय सम्मेलनको आयोजना, १२ देशको सहभागिता रहने"
8,"
कृषि बीमामा सधैँ झमेला, तैपनि बढ्दो छ किसानको आकर्षण"
9,"
हिमालयन एभरेष्ट इन्स्योरेन्सको बोनस शेयर सूचीकृत"
10,"
निर्जीवन बीमा कम्पनीहरुले संकलन गरे ३२ अर्ब बीमाशुल्क, नेशनल अझै पुगेन अर्ब क्लबमा"
11,"
नेको इन्सुुरेन्स २८ औं बर्षमा प्रवेश"
12,"
नेको इन्सुरेन्सको सर्भेयर बन्न चाहनेलाई खुसीको खबर"
13,"
युनाइटेड अजोड इन्स्योरेन्सको एकीकृत कारोबार शुरु, ४ वर्षभित्र टप ५ मा पुग्ने घोषणा"
14,"
यूनाइटेड अजोड इन्स्योरेन्सका अध्यक्षबाट सपथ ग्रहण"
15,"
दुई बीमा कम्पनीको शेयर कारोबार रोक्का"
16,"
अजोड र युनाइटेड इन्स्योरेन्सले जेठ १४ गतेदेखि एकिकृत कारोबार गर्ने"
17,"
आइजीआई प्रुडेन्सियल इन्स्योरेन्सको सिइओमा युगेशभक्त नियुक्त"
18,"
राष्ट्रिय बीमा कम्पनीले बोलायो साधारण सभा, लाभांश नदिने"
19,"
अन्ततः बीमा दाबीमा गल्यो चौधरी ग्रुप"
20,"
तीन लघुवित्तसहित चार कम्पनीको बोनस शेयर सूचीकृत"
21,"
चौध बीमा कम्पनीले पाएनन् कृषि अनुदानको पैसा, प्राधिकरण भन्छ–प्रक्रिया पुरा गरे तत्काल दिन्छौं"
22,"
सरकारले दिएन कृषि बीमाको तीन अर्ब अनुदान, बीमालेख जारी नगर्ने चेतावनी"
23,"
आइजीआई प्रुडेन्सियल इन्स्योरेन्सका अध्यक्ष ढकालले लिए सपथ"
24,"
आइएमई जनरल इन्स्योरेन्स र प्रुडेन्सियल इन्स्योरेन्सको आजबाट एकिकृत कारोबार"
25,"
अजोड इन्स्योरेन्स अब युनाइटेड अजोड हुने"
26,"
राष्ट्रिय बीमा कम्पनीको साधारण सभा जेठ ३१ गते, बुक क्लोज कहिले ?"
27,"
अजोड इन्स्योरेन्सद्वारा १ अर्ब ४४ करोडभन्दा बढी बीमाशुल्क आर्जन"
28,"
बीमाको पहुँच ४४.५५ प्रतिशत जनसंख्यामा पुग्यो, घटे कार्यालय र कर्मचारी"
29,"
आइएमई जनरल र प्रुडेन्सियल इन्स्योरेन्सले बैशाख २७ गतेदेखि एकिकृत कारोबार सुरु गर्ने"
30,"
नेपाल पुनर्बीमा कम्पनीद्धारा लाभांश घोषणा, बोनस कति ?"
31,"
मेटलाइफद्धारा ‘हेलो बिमा’ कमिक्स भिडियो सार्वजनिक"
