Index,Headline
0,"
आज राष्ट्रियसभाको बैठक बस्दै, विनियोजन विधेयक प्रस्तुत हुने"
1,"
रास्वपाले तोक्यो सबै जिल्लामा सम्पर्क सांसदको जिम्मेवारी"
2,"
तरुण दलको तदर्थ समितिमा चार सय थप"
3,"
तातोपानी नाका खुला गर्न चिनियाँ उपप्रधानमन्त्री फोङले पहल गर्ने"
4,"
'नक्कली भूटानी शरणार्थी प्रकरणका विषयमा प्रकाशित समाचार झुटो'"
5,"
‘ललिता निवास काण्डका अभियुक्तहरू पक्राउ गर्न थाल्यौँ, यतिमै रोकिने छैनौँ’"
6,"
दुई चरणमा ललिता निवासको जग्गा व्यक्तिमा नामसारी भयोः सिआइबी"
7,"
ललिता निवास जग्गा काण्डमा पूर्वप्रधानमन्त्रीलाई स्पष्टिकरण सोध्न संसदको माग"
8,"
पोखरा महानगरपालिकाले उत्पादनका आधारमा ७० प्रतिशत अनुदान दिने"
9,"
पोखरा महानगरको सात अर्ब, १५ करोडको बजेट पारित"
10,"
प्रधानमन्त्रीका निजी सचिव राजस्व अनुसन्धानको डिजीमा नियुक्त"
11,"
धनुषाका पाँच पालिकाले ल्याउन सकेनन् बजेट"
12,"
तलिता निवास जग्गा काण्डमा थप चार जना पक्राउ"
13,"
बेरुजु बढ्नुका कारण खोज्न ताते सांसद, साढे नौ खर्ब नाघ्यो त्यस्तो रकम"
14,"
वातावरण तथा सरसफाइमा काठमाडौं सचेत, अरू महानगरले छुट्याएनन् आवश्यक बजेट"
15,"
दुहु गाउँपालिका–५ का वडाध्यक्षको निधन"
16,"
धरान उपमहानगरपालिकाको १ अर्ब ७१ करोड रुपैयाँको बजेट"
17,"
कामपाको सबै सेवा अनलाइन प्रणालीमार्फत, करार कर्मचारीका लागि ३० करोड"
18,"
ललितपुर महानगरपालिकाको बजेट ६ अर्ब ५० करोड"
19,"
विराटनगरको बजेट ३ अर्ब २८ करोड, घट्यो राजश्वको लक्ष"
20,"
काठमाडौँ महानगरले सुलभ मुल्यको औषधी पसल खोल्ने, स्वास्थ्यलाई छुट्टायो ४१ करोड"
21,"
काठमाडौं महानगरमा रहेका कस्तो घरले कति ह्रास कट्टी तिर्न पर्छ ?"
22,"
बजेट संशोधन नहुने हो भने संसद्मा छलफल चलाउनुको औचित्य छैनः सांसदहरु"
23,"
सहकारीका ठगीको उजुरीका चाङले सिआइबीको कोठा नै भरिए : गृहमन्त्री श्रेष्ठ"
24,"
जीडीपीभन्दा निक्षेप बढी हुँदा यसरी पर्दैछ अर्थतन्त्र जोखिममा"
25,"
आयोग सदस्य डा. फुयाल जेनेभा प्रस्थान"
26,"
नेपालगन्ज उपमहानगरको बजेट एक अर्ब ६७ करोड ५६ लाख"
27,"
१० स्थानीय तहले ल्याए बजेट, बाँकीको भोलि"
28,"
समृद्धिको लक्ष्यमा तीव्रताका साथ अगाडि बढ्न सरकार प्रतिवद्ध छः प्रधानमन्त्री दाहाल"
29,"
करको विषयमा कचकच नगर्नु, बजेटमा संशोधन हुँदैन: अर्थमन्त्री"
30,"
कालोबजारी र बढ्दो तस्करी नियन्त्रण गर्न आवश्यक"
31,"
प्रधानमन्त्रीको दाबी– यसवर्ष रासायनिक मलको अभाव हुँदैन"
32,"
पूर्व बैंकर अनिल केसरी शाह रास्वपा प्रवेश"
33,"
‘मौद्रिक नीति कसैको स्वार्थपूर्ति गर्ने होइन, बजार मूल्य स्थिर राख्ने खालको हुनुपर्छ’"
34,"
ललितपुर महानगर : आयोजना बैंक, श्रम बैंकदेखि क्लिनिङ एम्बुलेन्ससम्म"
35,"
स्वास्थ्यका लागि हानीकारक बस्तुमा ५० प्रतिशत थप कर"
36,"
मन्त्रिपरिषद् निर्णय, धुर्मुस–सुन्तली फाउण्डेशनलाई कर छुट"
37,"
समाजवादी मोर्चाका सुत्रधार रहेका भट्टराईले नै गरे कडा विरोध"
38,"
दस्तावेजलाई अन्तिम रुप दिन रास्वपाको १७ सदस्यीय कार्यदल गठन"
39,"
सामाजिक सुरक्षाको दायित्व बढ्दा पुँजीगत बजेट कम भयो: अर्थमन्त्री महत"
40,"
सरकारले अप्रिय निर्णय नगरेकोमा स्वर्णिम वाग्लेको आपत्ति"
41,"
स्वास्थ्य बीमाको भारी बोक्न निजी क्षेत्र तयार"
42,"
आज चार कम्युनिष्ट पार्टी मिलेर समाजवादी मोर्चा बनाउने"
43,"
अर्थमन्त्री र गभर्नरका कुराले वित्तीय क्षेत्र निराश, अब व्यापार गर्ला कि मुद्दा ?"
44,"
हेटौंडा उपमहानगरपालिकाको बजेटमा पूर्वाधार विकासमा प्राथमिकता"
45,"
कर्णाली प्रदेश सरकारको आन्तरिक आम्दानी कमजोर"
46,"
प्रतिनिधिसभाको आजको बैठकमा तीन मन्त्रालयको बजेट एक रुपैयाँ कायम गर्न प्रस्ताव गरिने"
47,"
मेलम्चीले काठमाडौंलाई लगाएको गुन सरकारले तिर्ने प्रधानमन्त्रीको प्रतिवद्धता"
48,"
करको स्वरूप हचुवामा निर्धारण गर्नु हुँदैन"
49,"
आगामी आवको लागि कुन प्रदेशले कत्रो ल्याए बजेट ?"
50,"
लुम्बिनी सरकारको बजेट आकार ४० अर्ब ४७ करोड, सवा अर्ब आन्तरिक ऋण उठाउने"
51,"
प्राधिकरणले महानगर प्रमुख साहलाई सोध्यो स्पष्टीकरण"
52,"
गण्डकीमा अघिल्लो वर्षभन्दा डेढ अर्ब कमको बजेट सार्वजनिक"
53,"
कर्णाली प्रदेश सरकारको बजेट ३३ अर्ब ३७ करोड ९७ लाख ७ हजार"
54,"
‘छलफलमा प्रस्तुत सुझावअनुसार बजेट परिमार्जन गर्नुपर्छ’"
