Index,Headline
1,"
२०० प्रतिशत हकप्रद निष्कासनका लागि घलेम्दी हाइड्रोले पायो नियमन आयोगको अनुमति"
2,"
बरुण हाइड्रोपावरले हकप्रद शेयर निष्कासन गर्ने"
3,"
हकप्रद निष्कासनका लागि अपि पावरले तोक्यो बुक क्लोजको मिति"
4,"
दिब्यश्वरी हाइड्रोपावरले शतप्रतिशत हकप्रद शेयर बिक्री गर्ने"
5,"
रिडी पावरको ५० प्रतिशत हकप्रद विशेष साधारण सभाबाट पारित"
6,"
४० प्रतिशत हकप्रद निष्कासनका लागि अपि पावरले पायो बोर्डको स्वीकृति"
7,"
साङ्गे विद्युतले असार १९ गतेदेखि हकप्रद शेयर बिक्री गर्दै"
8,"
शतप्रतिशत हकप्रद शेयर निष्कासन गर्दै छयाङ्दी हाइड्रो"
9,"
नेशनल हाइड्रोपावरले हकप्रद शेयर निष्कासन गर्न तय गर्याे बुक क्लोज मिति"
10,"
१५० प्रतिशत हकप्रद जारी गर्न आँखुखोला जलविद्युतले पायो आयोगको स्वीकृति"
11,"
शत प्रतिशत हकप्रद शेयर जारी गर्दै सिंगटी हाईड्रो"
12,"
आँखुखोला जलविद्युतले १५० प्रतिशत मात्र हकप्रद विक्री गर्ने"
13,"
हकप्रद निष्कासन गर्दै घलेम्दी हाइड्रो, बिक्री प्रबन्धकमा मुक्तिनाथ क्यापिटल"
14,"
हाथवे स्टक डिलरको ६३ प्रतिशत हकप्रद शेयर जेठ २४ गतेसम्म बिक्रीमा रहने"
15,"
अरुण भ्याली हाइड्रोलाई शतप्रतिशत हकप्रद निष्कासन गर्ने पूर्व स्विकृति पायो"
16,"
बाराही हाइड्रोपावरले शतप्रतिशत हकप्रद बिक्री गर्ने"
17,"
ऋण तिर्न शतप्रतिशत हकप्रद शेयर निष्कासन गर्दै शिवश्री हाइड्रोपावर"
18,"
आँखुखोला जलविद्युतले २०० प्रतिशत हकप्रद शेयर निष्कासन गर्ने"
19,"
घलेम्दी हाइड्रोको २०० प्रतिशत हकप्रद साधारण सभाबाट पारित"
20,"
हकप्रद शेयर विक्रीका लागि हिमाल दोलखाले पायो बोर्डको अनुमति"
21,"
अरुण भ्याली हाइड्रोपावरले शतप्रतिशत हकप्रद शेयर निष्कासन गर्ने"
22,"
रिडी पावरलाई ५० प्रतिशत हकप्रद शेयर निष्कासन गर्न अनुमति"
23,"
हिमालयन उर्जा विकास कम्पनीलाई २०० प्रतिशत हकप्रद शेयर निष्कासनका लागि आयोगको अनुमति"
24,"
अर्किड होल्डिङग्सको हकप्रद शेयर आजदेखि विक्रीमा"
25,"
छ्याङदी हाइड्रोपावरले सत प्रतिशत हकप्रद शेयर निष्काशन गर्ने"
26,"
हाथवे स्टक डिलरले वैशाख ६ गतेदेखि ६३ प्रतिशत हकप्रद शेयर जारी गर्ने"
27,"
अर्किड होल्डिङग्सले चैत २६ गतेदेखि ५३.६६ प्रतिशत हकप्रद शेयर विक्री गर्ने"
28,"
मार्केट पण्डित क्यापिटलको १०५ प्रतिशत हकप्रद शेयर आजदेखि विक्रीमा"
29,"
एशियन क्यापिटलको ११० प्रतिशत हकप्रद शेयर आजदेखि विक्रीमा"
30,"
हकप्रद निष्काशनको तयारीमा जलविद्युत कम्पनीकै बर्चश्व"
31,"
हकप्रद शेयर जारी गर्न मल्टीपर्पस फाइनान्सले दियो सेबोनमा निवेदन"
