Index,Headline
0,"
निजी क्षेत्रलाई हेर्ने नजरिया फेर्ने चन्द्र ढकालको घोषणा, पदभार ग्रहण गर्दै गरे नयाँ निर्णय"
1,"
यी हुन् महासंघमा चन्द्र ढकालका सारथीहरू"
2,"
समिट होटलको परियोजना हाम्रो मात्र होइन: सीजी डेभलपर्स"
3,"
'बिचरा' विनोद चौधरी, कसरी गर्लान् कठै त्यत्रा घरको मर्मत !"
4,"
कतारमा हुने दशौँ अन्तर्राष्ट्रिय कृषि प्रदर्शनीमा नेपाल सहभागि"
5,"
समुदाय इतरको 'क्रस सपोर्ट'ले रोमाञ्चक बन्दैछ महासङ्घको चुनाव"
6,"
क्रसर बन्द हुँदा सिमेन्ट उद्योगीहरू तनावमा, भन्छन् -'मलमपट्टी गर्नुपर्ने घाउमा सरकारले नुन चुक छर्कियो'"
7,"
जुत्ता उत्पादकलाई 'ग्रे मार्केट' ले पिरोल्यो, १५ सय उद्योगीको कसले बुझ्ने पीडा"
8,"
विभिन्न २२ कम्पनी र व्यक्ति कर्पोरेट अवार्डद्वारा सम्मानित"
9,"
'सरकारले गरिखान दिएन, अब हामी उद्योगको तालाचावी र मजदुर सरकारको जिम्मा लगाउँछौँ'"
10,"
सरकारको अव्यवहारिक निर्णयले उद्योगी आन्दोलित, १० वटै औद्योगिक क्षेत्रमा कालो ब्यानर"
11,"
हिउँदे वर्षाले करिब तीन अर्बको काँचो इँटा नष्ट, मूल्य बढ्न सक्ने"
12,"
शिवम् सिमेन्टले अहिलेसम्म कै सर्वाधिक उच्च लाभांश दिने"
13,"
'अक्सिजन उत्पादकहरु अपराधी हुन् भने जेलमा हाल्नुस्'"
14,"
नयाँ बजेटका कारण फलाम उद्योगीबीच किचलो, उपभोक्ता चिन्तित"
15,"
गोपीकृष्णले जोगाए उदयपुर सिमेन्टको साख, ७ महिनामा गरे उल्लेख्य प्रगति"
16,"
आइपिओ जारी गर्ने तयारीमा रहेको अर्घाखाँची सिमेन्टले ५३ ग्रेडको पनि अनुमति पाउँदै"
17,"
सुरु भयो बजारमा सुनको अभाव, सरकार गुहार्दै व्यवसायी"
18,"
तीजको अवसरमा अफरै अफरः क्यासब्याकदेखि हेल्थ प्याकेजसम्म"
19,"
बर्जर पेन्ट्सले ल्यायो “बर्जर फेस्टिभ राइड” योजना"
20,"
नयाँ व्यवसायमा जम्दै छिन् शिक्षा, गुनासो गर्छिन्- कानुन नहुँदा पानीजहाज किन्न पाएनौँ"
21,"
'वाइवाइ' जिंगल रिमिक्स प्रतियोगीताका विजेताहरू पुरस्कृत"
22,"
सरकारी नीति कार्यान्वयन भएन, एक खर्बको स्टिल उद्योग संकटमा"
23,"
संकटमा पनि फुटवेयर उत्पादकको अठोट : सरकारले आयातमा कडा गरोस्, हामी कुनै नेपालीलाई खाली खुट्टा हिँडाउदैनौं"
24,"
एनसेलको नयाँ योजना मार्फत हरेक दिन स्मार्टफोन जित्न सकिने"
25,"
अम्बे स्टील्सको ‘डिलर सम्मेलन २०७७’ सम्पन्न"
26,"
हुलासले कर्कटपातामा अष्ट्रेलियन प्रविधिको गल्भालुम ड्युराकलर ल्यायो"
27,"
मेलम्ची खानेपानी आयोजनको सुरुङमार्गको परीक्षण, उद्दारको लागि हेलिकप्टरसम्मको व्यवस्था"
28,"
टेस्लाले भारतमा उद्योग खोल्ने, नेपालका लागि अवसर"
29,"
टिभीएस एनटर्क १२५ सुपरस्क्वाड संस्करण नेपालमा सार्वजनिक"
30,"
डेढ वर्षमा दुई वटै कम्पनीको आईपीओ ल्याइसक्ने योजना छ’"
31,"
सामसुङको सञ्चालन नाफा दुई अंकले वृद्धि"
32,"
मलाई बिल गेट्सलाई भन्दा बढी पैसा चाहिएको छः आनन्दराज बतास"
33,"
टेस्लाले एकवर्षमा बेच्यो झण्डै पाँच लाख विद्युतीय कार"
34,"
टाटा मोटर्सको पाँचौ ग्लोबल सर्भिस क्याम्प आजबाट शुरु"
35,"
दोहोरो कर हटाउन उद्यमी व्यवसायीको अर्थमन्त्रीसँग माग"
36,"
महासंघले सुकुन्तलाल हिराचनलाई कोषाध्यक्ष चुन्यो"
37,"
महासंघ जन्माउने उद्योगीको परिवारबाट पहिलो अध्यक्ष"
38,"
सरकार निजी क्षेत्रलाई साथ लिएर अघि बढ्छः अर्थमन्त्री पौडेल"
39,"
ढकालको यात्रा, जसले उनलाई यो उचाइमा पुर्यायो"
40,"
महासंघ निर्वाचनः पुष्पराज कुँवर र जमसेद मिया विजयी"
41,"
महासंघको निर्वाचन  सम्पन्न, शतप्रतिशत मत खस्यो"
42,"
महासंघको निर्वाचन तयारी पूरा, शनिबार ८ बजेदेखि तीन स्थानबाट निर्वाचन हुने"
43,"
साढे ३ खर्बको राहत प्याकेज आवश्यक छः शेखर गोल्छा"
44,"
‘उद्यमीको सेवा गर्न मैले उम्मेदवारी दिएको हुँ’"
45,"
‘साथीहरूले मलाई विश्वास गरेर जिताउनु हुन्छ’"
46,"
महासंघमा चुनावी रौनक, भोलिदेखि साधारणसभा शुरु"
47,"
महासंघ निर्वाचनः 'प्रतिस्पर्धी होउन् त अञ्जन र उमेशजस्ता !'"
48,"
वरिष्ठ उपाध्यक्षमा सहमति खोज्नु व्यर्थ"
49,"
महासंघको चुनावी प्रतिस्पर्धा चुलिँदै, ढकाल पक्षको ध्यान सार्वजनिक संस्थान र वित्तीय संस्थामा"
50,"
‘महासंघका सबै मतदाता विवेकी हुनुहुन्छ, त्यसैले म ढुक्क छु’"
51,"
देवचुलीको दलदलेमा कुरियर र कार्गो सेवा संचालनमा"
52,"
सिजी ब्राण्डको वेभसाईटबाट सामान खरिद गर्दा उपहारै उपहार"
53,"
बिक्रीका लागि ल्याएका २४ सय २० गाडी भन्सारमा, यस्तो रहेछ जाँचपास नगराउनुको कारण"
54,"
३ दिन क्वारेन्टिन र ३ अर्बभन्दा कम रकमको ठेक्का विदेशीलाई नदिन आग्रह"
55,"
सामसङको दशैं तिहार अफर, ३५ प्रतिशत छुट"
56,"
नेपालको लागि भिजाले भुक्तानी सुरक्षा रोडम्याप ल्यायो"
57,"
मारुती सिमेन्ट उद्योगविरुद्ध प्रदर्शन"
58,"
आरती स्ट्रिप्सका ५१ कामदारमा कोरोना संक्रमण, अधिकांश संक्रमित भारतीय नागरिक"
59,"
साओमीले भित्र्यायो दुई नयाँ स्मार्टफोन, कति छ मूल्य ?"
60,"
भदौ १ देखि हवाइ सेवा खुल्ने, होटल कहिले खुल्ने ?"
61,"
निर्वाचनको तयारीमा महासंघ, उम्मेदवार मनोनयन र सदस्यता नवीकरणको लागि जारी भयो सूचना (सूचना सहित)"
62,"
क्यान्सर हुन सक्ने पाउडर बिक्री गरेको आरोपमा जोन्सन एन्ड जोन्सनलाई २ अर्ब १० करोड डलर जरिवना"
63,"
वैदेशिक लगानी प्रतिवद्धता दोब्बर, लकडाउनमै आयो एक अर्ब लगानी"
64,"
एफएनसीसीआईको चुनावको मिति बल्ल तय भयो"
65,"
महासंघको चुनाव साउन २५ र २६ गते फिक्स, महासंघमा साउनपछि नयाँ नेतृत्व"
66,"
'औषधि पसलमा धेरै पुरुष व्यापारी हुने भएकाले कस्मेटिक पसलमा प्याड पठाउन थाल्यौं'"
67,"
यसकारण फाइफ स्टार होटलले क्वारेन्टाइन बनाउन मानेन्"
68,"
एलजीद्वारा ४ लाखसम्मको बीमा अफर सार्वजनिक"
69,"
कोका-कोलाद्वारा नेपालका ३२०० वेस्ट वर्करहरुलाई राहत वितरण"
70,"
दी नेपाल डिष्टिलरीजको सामाजिक पहलः खाँचोमा परेकालाई राहत"
71,"
लोमसको ५ सय १५ रुपैयाँमा ५ सय एमएलको ह्यान्ड स्यानिटाइजर बजारमा"
72,"
‘इकोसिष्टम’ टुट्योः व्यवसाय कहाँबाट शुरु गर्ने ?"
73,"
लक्ष्मी हुन्डाईद्वारा “हुन्डाई केयर” कार्यक्रमको शुरु"
74,"
कोरोना कोषमा सीआईटीको १ करोड २५ लाख सहयोग"
75,"
बजाजको नयाँ शोरुम प्यूठानमा"
76,"
एआई ट्रिपल क्यामरासहितको ‘हुवावे वाई सेभेन पी’ नेपाली बजारमा"
77,"
टाटा मोटर्सको  ‘स्प्रिङ बोनान्जा’ कार्यक्रम फागुन ३० गतेदेखि"
78,"
ओपो एफ१५ नेपालमा सार्वजनिक गर्ने घोषणा"
79,"
लिवर्टी इनर्जीको आइपीओ खुल्यो"
80,"
कोरोनाको बढी असर पर्यटन क्षेत्रमा, वैकल्पिक बजार खोज्दै वायु सेवा प्रदायक"
81,"
निप्पोन पेन्ट नेपाली बजारमा"
82,"
‘आइएमई पे’को नयाँ योजना पैसा हातैमा ५० बोनस साथैमा"
83,"
“चान्स टु वीन थ्रू अ क्लिक” अभियानका विजेतालाई टिभीएस जुपिटर ११० सीसी स्कुटर हस्तान्तरण"
84,"
आठौं घर जग्गा मेला हुने"
85,"
नेपाल लिकर्स र दिपक बज्राचार्यबिच सांगितिक सहकार्य सम्बन्धि सम्झौता"
86,"
महिन्द्राको ब्राण्ड ऐम्बेस्डरमा क्रिकेटर पारस खड्का"
87,"
एक रुपैयाँमै इयरफोन"
88,"
सुनको भाउ घट्यो, तोलाको कति पुग्यो ?"
89,"
ड्याट्सन गाडीको ‘हट डिल’ योजनाको विजेता घोषणा"
90,"
निसानको फेस्टिभ ड्राइभ योजनाको बिजेता घोषणा"
91,"
हुण्डाइको नयाँ ईलेक्ट्रिक कार ‘आयनिक ईलेक्ट्रिक २०२०’ नेपालमा"
92,"
नागरिक लगानीकोषले प्रस्ताव गर्‍यो लाभांश"
93,"
नेपाल बिल्डकन अन्तर्राष्ट्रिय प्रदर्शनी समापन(फोटो फिचर सहित )"
94,"
अल्फा बिटाले अष्ट्रेलियन एजुकेसन फेयर गर्ने"
95,"
मारुती सिमेन्टलाई एनएस क्वालिटी अवार्ड"
96,"
एनसेलले ल्यायो फोरजी डेटा बोनस योजना"
97,"
एनसेलको पिआरबिटी सेवामा अब आफ्नै धुन बनाइ बोनस ब्यालेन्स र पुरस्कार जित्न सकिने"
98,"
एनसेलले ल्यायो आकर्षक ‘मेरो प्लान’,प्लानमा थप डेटा प्याकको सुविधा"
99,"
कोका–कोला “नेपाल आइडल सिजन ३” को मुख्य प्रायोजक"
100,"
लाइसेन्स फिका कारण नेपाल टेलिकमको नाफा ७ अर्ब २८ करोडले घट्यो"
101,"
पञ्चकन्या ग्रुप ४७ वर्षमा प्रवेश"
102,"
बजाजको चाडपर्व अफर 'दिमाग डामाडोल’, २० लाखसम्मको बीमा निशुल्क"
103,"
सामसङ्ग डिलर्स समिट २०१९"
104,"
बजाजको चाडपर्व अफर एक लाखसम्मको 'सियोर सट डिस्काउन्ट'"
105,"
देशको विकास बजेट भन्दा बढीको इन्धन किने नेपालीले"
106,"
युनिलिभर नेपालको नाफा अर्ब नाघ्यो, लाभांश कति देला ?"
107,"
एफएनसीसीआईमा विधान संशोधनको प्रस्तावले विवाद चुलियो"
108,"
कोका–कोला पिउँदा हरेक घण्टा पुरस्कार जित्ने अफर"
109,"
८७ देशमा रोमिङ सेवामा एकैचोटी भारी छुट"
110,"
कम मुल्यमा सबै फिचर भएको टिभी एम्प्लिफाई प्लस ब्राण्ड नेपालमा"
111,"
कोका–कोलाको जिग्री प्याक सार्वजनिक"
112,"
शिवम् सिमेण्टका सीइओ देवकोटाको राजीनामा स्वीकृत"
113,"
एनसेल टावर आगजनी गरेको आरोपमा पक्राउ"
114,"
विश्व प्रसिद्ध बडवेएजर र फोस्टर्स बियर नेपालमै उत्पादन हुने"
115,"
लर्ड बुद्ध फाउण्डेसनको ब्राण्ड एम्बेसडरमा प्रदिप खड्का"
116,"
टेलिकमको एफटीटीएचमा अब थप सुविधा"
117,"
सरकार र व्यवसायवीचको वार्ता ५ सदस्यीय कार्यदल बनाउने निर्णय"
118,"
ह्वासिङ सिमेन्टलाई मन्त्रिपरिद्ले दिने भनेको जग्गा नदिन माग"
119,"
चेम्बरको उत्पत्तिको प्रमाणपत्र अनलाइनबाटै"
120,"
ट्रयाकिङ सिस्टममा एक हजार ८५२ कम्पनी प्रणालीमा इन्ट्री"
