Index,Headline
0,"
हिप्को सुपरबिल्ड स्टिल फ्याब्रिकेशन तालिम तथा रोजगारको लागि आवेदन खुल्ला"
1,"
हाजिर नगराउने र गर्न नजाने प्रवृत्ति अब अन्त्य हुन्छ : मन्त्री मोदी"
2,"
नेपाल बैंकमा जागिर खाने हो ? स्थायी पदपूर्तिका लागि खुल्यो विज्ञापन"
3,"
नेपाल र युएईबीच श्रम सम्झौता नवीकरण, केकेमा नयाँ रोजगारी खुल्यो ?"
4,"
सङ्घीय निजामती सेवा ऐन यसै अधिवेशनबाट जारी हुन्छ : मन्त्री मोदी"
5,"
इराकसहित १७९ देशमा वैदेशिक रोजगारीका लागि खुलाउने तयारी"
6,"
विदेशमा गैरकानूनी हैसियतमा रहेका नेपालीलाई कानूनी वैधता दिन पहल गरिने"
7,"
एफएनसीसीआईले जेठ १६ र १७ गते काठमाडौंमा रोजगार मेला गर्ने"
8,"
मनोमानी तरिकाले पोल्याण्ड लैजाने खोज्ने दुई विदेशी पक्राउ"
9,"
वैदेशिक रोजगारीको प्रलोभन देखाएर ७६ करोड ठगी"
10,"
बल्ल संघीय निजामति सेवा ऐन जारी गर्न सर्वोच्चले दियो आदेश (पूर्णपाठ सहित)"
11,"
वैदेशिक रोजगारी छाडेर स्वदेशमा बाख्रापालन"
12,"
नयाँ श्रम गन्तव्यको खोजीमा वैदेशिक रोजगार मेला आयोजना गर्ने तयारी"
13,"
क्यानडा तथा चेक रिपब्लिक पठाइदिन्छु भन्दै ठगी"
14,"
श्रम स्वीकृति लागू गर्दै काभ्रेका स्थानीय तह"
15,"
राससमा ठूलो मात्रामा जागीर खुल्यो"
16,"
वार्ता समिति गठनपछि कर्मचारीको आन्दोलन स्थगित"
17,"
श्रमिकको ज्याला हाम्रो पालामा सबैभन्दा धेरै भएको हो : केपी ओली"
18,"
‘उत्पादन र रोजगार लक्षित नीति, कार्यक्रम र बजेट ल्याउँछौँ’"
19,"
निजामती कर्मचारी हो तपाईका छोराछोरीले भर्न पाउने आवेदन खुल्यो"
20,"
पोर्चुगलबाट २३ सयले दिए राहदानी आवेदन"
21,"
अजरबैजान पुर्याइ ठगी गर्ने पक्राउ"
22,"
ईजरायल पठाइदिन्छु भन्दै रकम ठगी गर्ने पक्राउ"
23,"
हरेक महिना बाहिरिन्छन् ६५ हजार युवा"
24,"
स्वास्थ्यकर्मी चार महिनादेखि पारिश्रमिकबिहीन"
25,"
स्वरोजगार कोष मार्फत १३ अर्ब लगानी, हालसम्म करिब डेढ लाख जना लाभान्वित"
26,"
वैदेशिक रोजगार विभागद्वारा समिति गठन"
27,"
विदेशमा रहेका नेपालीलाई समेट्ने गरी नयाँ सामाजिक सुरक्षा योजना सुरु"
28,"
काठमाडौँ महानगरद्वारा ८ महिनामा ४३ प्रतिशत राजस्व सङ्कलन"
29,"
सिभिल अस्पतालमा जागिर खाने हो ? योग्यता पुगेकाहरुका लागि यस्तो छ अवसर"
30,"
विदेशमा अलपत्र परेकाका लागि सहयोगी बन्दै सामी"
31,"
१०० रुपैयाँलाई तीन भागमा बाँड्नुहोस्, तपाई पनि बन्नुहुनेछ करोडपति, थाहा छ कसरी ?"
32,"
भारतमा ५०.३ प्रतिशत युवा रोजगारी गर्न योग्य"
33,"
संघर्षले नथाकेकी अस्मिता, बालुवा चाल्नेदेखि कटन क्यान्डी उत्पादन गर्नेसम्म"
34,"
माघमा ६४ हजार बढीले लिए श्रम स्वीकृति"
35,"
नेपाल प्रहरीमा खुल्यो जागिर, यस्तो छ सूचना"
36,"
आईको प्रयोगका कारण विश्वभर रोजगारी घट्दै"
37,"
रोकिएको सरकारी जागीरको विज्ञापन खुला गर्न सर्वोच्चको परमादेश"
38,"
राजपत्राङ्कित तृतीय श्रेणी, शाखा अधिकृतको परीक्षा रोकियो"
39,"
च्याट जीपीटीले पार्दैछ धेरैको जागिर चट्, पत्रकारको पनि हुँदैछ निदहराम !"
40,"
नेपाली श्रमिकलाई मलेसियाले सामाजिक सुरक्षा प्रणालीमा आबद्ध गराउने"
41,"
इथोपिया  हिडेका १२ महिलाको उद्धार"
42,"
बीमा संस्थानमा खुल्यो जागिर, कस्तो छ प्रक्रिया ?"
43,"
रेमिट्यान्स पठाउने सजिलो उपाय बनाइदिन प्रधानमन्त्री समक्ष एनआरएनको आग्रह"
44,"
यो ठाउँमा फस्टायो सिद्राको व्यापार"
45,"
कुम्हाल समुदायलाई सरस्वतीको मूर्ति बनाउन भ्याइनभ्याइ"
46,"
सीपले बदलिदिएको महिलाको दैनिकी"
47,"
तुलसीपुरमा विद्यालयका लेखापालको तलब बढ्यो"
48,"
कम्बोडियाको १२ तलाको होटलको झ्यालबाट हामफाल्दा ज्यान गुमाएका निराकारको शव आइपुग्ने"
49,"
७३१ थान राहदानीसहित तीन पक्राउ"
50,"
अत्याधिक बढ्यो चाकुको माग, व्यवसायीलाई भ्याइनभ्याइ"
51,"
सांसदलाई नै राहदानी बनाउन यस्तो सास्ती !"
52,"
कर्णाली प्रदेशमा खुल्यो सरकारी जागिर, कसरी लिने अवसर ?"
53,"
मह बेचेर महिनाको ३ लाख कमाउछन् टीकाराम"
54,"
फिलीपिनी महिलासँग विश्वकर्माको फुट ट्रक यसरी बन्यो उदाहरण"
55,"
रुकुम (पूर्व) मा ३५ प्रतिशतले बढ्यो सुन्तला उत्पादन"
56,"
आकर्षक रोजगारीको प्रलोभनमा परी दक्षिण अफ्रिका नजान अनुरोध"
57,"
गृहमन्त्रीद्वारा राहदानी विभागको अनुगमन"
58,"
सामाजिक सुरक्षामा समेटिँदै अनौपचारिक, सुविधा के के छन् ?"
59,"
'अप्ठ्यारामा परेका नागरिकको जिम्मा राज्यले लिन्छ'"
60,"
कागेश्वरी मनोहराले लोकसेवा आयोगको कक्षा सञ्चालन गर्ने"
61,"
चिया बेचेरै मासिक ९० हजार कमाउँछिन् विपना"
62,"
वैदेशिक रोजगारबाट फर्किएका भुक्तभोगी भन्छन्, महिलालाई सारै कठिन छ"
63,"
कर्णाली प्रदेशमा खुल्यो सरकारी जागिर, यसरी दिन सकिन्छ दरखास्त"
64,"
श्रममन्त्रीसम्म नै पुगेर क्यानाडा लैजाने भन्दै छ लाख ठगे"
65,"
दोधाराचाँदनी सुक्खा बन्दरगाहः स्थानीयलाई रोजगारीको आशा"
66,"
गणपति लघुवित्तमा रोजगारीको अवसर"
67,"
प्रदेश–१ मा खुल्यो ठूलो संख्यामा सरकारी जागिर, कुनमा जागिर खान के गर्नुपर्छ ?"
68,"
रेमिट्यान्स बढ्ने प्रक्षेपण, २०२२ मा नेपालको साढे आठ अर्ब अमेरिकी डलर पुग्ने"
69,"
विश्वमा शक्तिशाली पासपोर्ट कुन देशको होला ?"
70,"
विदेशबाट फर्किएर स्वदेशमै उद्यम, मनग्य आम्दानी"
71,"
पहिलो दिन कालिञ्चोक दर्शनको आईपीओ वैदेशिक रोजगारीमा गएका कतिले भरे ?"
72,"
बैदेशिक रोजगारीमा रहेको नेपाली नागरिकलाई सिआरएन नम्बर लिन आग्रह"
73,"
लिंक इन्टरनेशनल मेनपावरको यस्तो आयो भनाई"
74,"
लिंक इन्टरनेशनल मेनपावरमा छापा, मोटो रकम लिने गरेको खुलासा"
75,"
निर्वाचनमा खटिने कर्मचारी र सुरक्षाकर्मीले कस्ता सेवा-सुविधा पाउँछन् ?"
76,"
कतार जानका लागि टिकट काटेका ६० जना यात्रु जव सुनधाराको होटलमा भेटिए..."
77,"
फ्रि भिसा फ्रि टिकटको नाममा ब्रम्हलुट, राजनीतिक दल आवद्ध म्यानपावरले २० करोड चन्दा दिए"
78,"
श्रम गन्तव्यका रुपमा युरोपका मुलुक बन्दै"
79,"
साउदी अरबमा सबैभन्दा धेरै नेपालीले ज्यान गुमाए, सहायात स्वरुप १८ करोड बढी वितरण"
80,"
कुवेतमा अलपत्र सात कामदारको उद्धार"
81,"
उम्मेदवार घरदैलोमा, युवा कामको खोजीमा भारततर्फ"
82,"
जुत्ता चप्पल सिलाएरै आफूसँगै अरुको जीवन धानेका जयबहादुर"
83,"
अमेरिकी निर्वाचनमा दुई नेपाली उम्मेदवार"
84,"
आयल निगममा खुल्यो एकै पटक ६० जनालाई रोजगारीको अवसर"
85,"
गाउँ–गाउँमा साउण्ड सिस्टम पुगेपछि संकट मादल व्यवसाय"
86,"
लुम्बिनी प्रदेशमा खुल्यो सरकारी जागिर"
87,"
धितोपत्र बोर्डमा खुल्यो २६ जनालाई अवसर, यसरी दिनुहोस् आवेदन"
88,"
अमेरिका जाने होइन त ? यसरी भर्नुहोस् डीभीको आवेदन फारम"
89,"
जापानमा काम गर्ने महिलाको तलब बढ्यो"
90,"
लोप हुने अवस्थामा श्यामा कपडा, जोगाउन पहलको आवश्यक"
91,"
युवापुस्ताले चासो नदिँदा राडीपाखी बुन्ने पेसा सङ्कटमा"
92,"
भोजपुरे खुकुरीको माग बढ्यो, कालीगढ भने अभाव"
93,"
अनुदानमा अटो रिक्सा पाएपछि मक्ख छन् कुमार राना"
94,"
६०० इमेल, ८० कल...त्यसपछि यी भारतीय युवाले विश्व बैंकमा जागिर पाए"
95,"
सरकारी जागिरको खोजीमा हुनुहुन्छ ? यो ठाउँमा खुल्यो अवसर"
96,"
सशस्त्र प्रहरीमा एकै पटक खुल्यो १७२ इन्सपेक्टर र असइमा जागिर (विस्तृतमा)"
97,"
कर्मचारी सरुवा रोक्न आयोगको निर्देशन"
98,"
भदौमा आएन विदेशी लगानी, ३१ अर्ब ८५ करोडको स्वदेशी उद्योग दर्ता"
99,"
स्वास्थ्य बीमा बोर्डले करार सेवामा जनशक्ति भर्ना गर्ने"
100,"
मलेसिया अझै उत्कृष्ट रोजगार गन्तव्य, ५४ हजार भन्दाबढिले लिए श्रम स्वीकृति"
101,"
श्रम स्वीकृति गरी वैदेशिक रोजगारीमा गएकाले मात्र  आईपीओमा आरक्षण पाउने"
102,"
नेपाली सेनाले ठूलो मात्रामा नयाँ भर्नाको आवेदन माग"
103,"
युबईमा पाँच वर्षे नयाँ ग्रीन भिसा प्रणाली लागू हुने"
104,"
दुवईमा अलपत्र परेका तीन जना युवालाई दुर्गा प्रसाईले उद्धार गरे"
105,"
कर्मचारीले राजनीति स्वार्थ  बोकेर हिड्दा प्रशासनिक विकृती आयो : उर्जामन्त्री भुसाल"
106,"
क्रोएसिया लाखौ तलब हुन्छ भने  ६ लाख २४ हजार ठगी गर्ने पक्राउ"
107,"
'न्यूनतम योग्यता नपुगेका न्यायाधीशलाई हटाउन सकिन्छ'"
108,"
दक्षिण कोरिया पठाईदिन्छु भनी सात लाख ठगी गर्ने दिनेश पक्राउ"
109,"
१४ वर्षमा रेमिट्यान्स आप्रवाह ८४ खर्ब ६६ अर्ब रुपैयाँ आयो"
110,"
प्रवासका नेपालीहरु आगामी निर्वाचनमा कस्तो परिवर्तन देख्न चाहन्छन ?"
111,"
दुबईमा अलपत्र परेकी जानकी नेपाल आइन"
112,"
भक्तपुर क्यान्सर अस्पतालले माग्यो कर्मचारी, यस्तो छ प्रक्रिया"
